"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01088499999","2010-01-03T12:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","260,1,N,0031,1","99999,9,9,Y","009900,1,N,1","-0090,1","-0110,1","99999,9",,,,,,"10149,1,99999,9",,,,,"MET047METAR ENSN 031250Z 26006KT CAVOK M09/M11 Q1015;",
"01088499999","2010-01-03T13:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","260,1,N,0026,1","99999,9,9,Y","009900,1,N,1","-0090,1","-0100,1","99999,9",,,,,,"10149,1,99999,9",,,,,"MET047METAR ENSN 031350Z 26005KT CAVOK M09/M10 Q1015;",
"01088499999","2010-01-03T14:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","260,1,N,0031,1","99999,9,9,Y","009900,1,N,1","-0090,1","-0110,1","99999,9",,,,,,"10139,1,99999,9",,,,,"MET047METAR ENSN 031450Z 26006KT CAVOK M09/M11 Q1014;",
"01088499999","2010-01-03T15:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","280,1,N,0031,1","99999,9,9,Y","009900,1,N,1","-0090,1","-0100,1","99999,9",,,,,,"10139,1,99999,9",,,,,"MET047METAR ENSN 031550Z 28006KT CAVOK M09/M10 Q1014;",
"01088499999","2010-01-03T16:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0031,1","99999,9,9,Y","009900,1,N,1","-0100,1","-0110,1","99999,9",,,,,,"10129,1,99999,9",,,,,"MET047METAR ENSN 031650Z 25006KT CAVOK M10/M11 Q1013;",
"01088499999","2010-01-03T17:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0036,1","99999,9,9,Y","009900,1,N,1","-0100,1","-0110,1","99999,9",,,,,,"10129,1,99999,9",,,,,"MET047METAR ENSN 031750Z 25007KT CAVOK M10/M11 Q1013;",
"01088499999","2010-01-03T18:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0041,1","99999,9,9,Y","009900,1,N,1","-0100,1","-0110,1","99999,9",,,,,,"10129,1,99999,9",,,,,"MET047METAR ENSN 031850Z 25008KT CAVOK M10/M11 Q1013;",
"01088499999","2010-01-03T19:20:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0036,1","99999,9,9,Y","009900,1,N,1","-0100,1","-0100,1","99999,9",,,,,,"10119,1,99999,9",,,,,"MET047METAR ENSN 031920Z 25007KT CAVOK M10/M10 Q1012;",
"01088499999","2010-01-04T04:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","240,1,N,0026,1","22000,1,9,N","011265,1,N,1","-0090,1","-0100,1","99999,9","02,5,+00060,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10071,1,99999,9",,,,,"MET053METAR ENSN 040450Z 24005KT 9999 FEW002 M09/M10 Q1007;",
"01088499999","2010-01-04T05:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0026,1","22000,1,9,N","011265,1,N,1","-0100,1","-0100,1","99999,9","02,5,+00060,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10071,1,99999,9","40,1",,,,"MET058METAR ENSN 040550Z 25005KT 9999 VCFG FEW002 M10/M10 Q1007;",
"01088499999","2010-01-04T06:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","240,1,N,0026,1","22000,1,9,N","001500,1,N,1","-0100,1","-0100,1","99999,9","04,5,+00060,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10061,1,99999,9",,,,,"MET060METAR ENSN 040650Z 24005KT 1500N 9000E SCT002 M10/M10 Q1006;",
"01088499999","2010-01-04T07:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0026,1","22000,1,9,N","011265,1,N,1","-0090,1","-0090,1","99999,9","02,5,+00060,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10051,1,99999,9","40,1",,,,"MET058METAR ENSN 040750Z 25005KT 9999 VCFG FEW002 M09/M09 Q1005;",
"01088499999","2010-01-04T08:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","240,1,N,0021,1","22000,1,9,N","011265,1,N,1","-0080,1","-0090,1","99999,9","02,1,+99999,9,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10051,1,99999,9",,,,,"MET053METAR ENSN 040850Z 24004KT 9999 FEW/// M08/M09 Q1005;",
"01088499999","2010-01-04T09:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0021,1","22000,1,9,N","011265,1,N,1","-0080,1","-0090,1","99999,9","02,1,+99999,9,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"10051,1,99999,9",,,,,"MET053METAR ENSN 040950Z 25004KT 9999 FEW/// M08/M09 Q1005;",
"01088499999","2010-01-04T10:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0010,1","99999,9,9,Y","009900,1,N,1","-0070,1","-0080,1","99999,9",,,,,,"10041,1,99999,9",,,,,"MET047METAR ENSN 041050Z VRB02KT CAVOK M07/M08 Q1004;",
"01088499999","2010-01-04T12:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","240,1,N,0021,1","99999,9,9,Y","009900,1,N,1","-0060,1","-0070,1","99999,9",,,,,,"10031,1,99999,9",,,,,"MET047METAR ENSN 041250Z 24004KT CAVOK M06/M07 Q1003;",
