"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"03372399999","2010-01-18T07:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","240,1,N,0067,1","02700,1,C,N","006000,1,N,1","+9999,9","+9999,9","99999,9","07,5,+02700,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","05,1",,,"MET052METAR EGYE 180750Z 24013KT 6000 HZ BKN090 Q1021 WHT;",
"03372399999","2010-01-18T08:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","240,1,N,0062,1","01200,1,C,N","007000,1,N,1","+9999,9","+9999,9","99999,9","02,5,+00600,1,99,9","07,5,+01200,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9","05,1",,,"MET059METAR EGYE 180850Z 24012KT 7000 HZ FEW020 BKN040 Q1021 WHT;",
"03372399999","2010-01-18T09:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","240,1,N,0062,1","22000,1,9,N","011265,1,N,1","+9999,9","+9999,9","99999,9","04,5,+01200,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET049METAR EGYE 180950Z 24012KT 9999 SCT040 Q1022 BLU;",
"03372399999","2010-01-18T10:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","240,1,N,0051,1","22000,1,9,N","011265,1,N,1","+9999,9","+9999,9","99999,9","04,5,+01200,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET049METAR EGYE 181050Z 24010KT 9999 SCT040 Q1022 BLU;",
"03372399999","2010-01-18T11:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","250,1,N,0077,1","22000,1,9,N","011265,1,N,1","+9999,9","+9999,9","99999,9","02,5,+00600,1,99,9",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET049METAR EGYE 181150Z 25015KT 9999 FEW020 Q1022 BLU;",
"03372399999","2010-01-18T12:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","250,1,N,0082,1","02400,1,C,N","011265,1,N,1","+9999,9","+9999,9","99999,9","04,5,+00750,1,99,9","07,5,+02400,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET056METAR EGYE 181250Z 25016KT 9999 SCT025 BKN080 Q1022 BLU;",
"03372399999","2010-01-18T13:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","270,1,N,0077,1","03000,1,C,N","011265,1,N,1","+9999,9","+9999,9","99999,9","04,5,+01200,1,99,9","07,5,+03000,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET056METAR EGYE 181350Z 27015KT 9999 SCT040 BKN100 Q1022 BLU;",
"03372399999","2010-01-18T14:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","270,1,N,0062,1","22000,1,9,N","011265,1,N,1","+9999,9","+9999,9","99999,9","04,5,+01200,1,99,9",,,"04,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET049METAR EGYE 181450Z 27012KT 9999 SCT040 Q1022 BLU;",
"03372399999","2010-01-19T07:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","110,1,N,0026,1","00015,1,C,N","000200,1,N,1","+9999,9","+9999,9","99999,9","09,1,+00015,1,99,9",,,"09,99,1,99,9,99,9,00025,1,99,9,99,9","10230,1,99999,9","45,1",,,"MET051METAR EGYE 190750Z 11005KT 0200 FG VV/// Q1023 RED;",
"03372399999","2010-01-19T08:50:00","4","52.962225","-0.561625","111.86","BARKSTON HEATH, UK","FM-15","EGYE ","V020","100,1,N,0031,1","00015,1,C,N","000100,1,N,1","+9999,9","+9999,9","99999,9","09,1,+00015,1,99,9",,,"09,99,1,99,9,99,9,00025,1,99,9,99,9","10230,1,99999,9","45,1",,,"MET051METAR EGYE 190850Z 10006KT 0100 FG VV/// Q1023 RED;",
