"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04203099999","2010-01-01T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0134,1","99999,9,9,N","999999,9,N,1","+9999,9","-0082,1","09843,1","99999,9,09829,1","7,1,059,1,+999,9",,"SYN060AAXX  01004 04203 46/// /2026 11082 21082 39829 49843 57059;","Q01-000823ATOT  "
"04203099999","2010-01-01T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","150,1,N,0216,1","99999,9,9,N","999999,9,N,1","-0096,1","-0102,1","10014,1","99999,9,10000,1","2,1,171,2,+999,9",,"SYN060AAXX  01034 04203 46/// /1542 11096 21102 30000 40014 52171;","Q01+001712APC3  "
"04203099999","2010-01-01T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","150,1,N,0123,1","99999,9,9,N","999999,9,N,1","-0115,1","-0123,1","10089,1","99999,9,10075,1","2,1,075,1,+999,9",,"SYN060AAXX  01064 04203 46/// /1524 11115 21123 30075 40089 52075;",
"04203099999","2010-01-01T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","160,1,N,0103,1","99999,9,9,N","999999,9,N,1","-0130,1","-0139,1","10140,1","99999,9,10125,1","2,1,050,1,+999,9",,"SYN060AAXX  01094 04203 46/// /1620 11130 21139 30125 40140 52050;",
"04203099999","2010-01-01T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","150,1,N,0149,1","99999,9,9,N","999999,9,N,1","-0131,1","-0142,1","10178,1","99999,9,10163,1","2,1,038,1,+999,9",,"SYN060AAXX  01124 04203 46/// /1529 11131 21142 30163 40178 52038;",
"04203099999","2010-01-01T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","160,1,N,0139,1","99999,9,9,N","999999,9,N,1","-0152,1","-0162,1","10232,1","99999,9,10217,1","2,1,054,1,+999,9",,"SYN060AAXX  01154 04203 46/// /1627 11152 21162 30217 40232 52054;",
"04203099999","2010-01-01T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","150,1,N,0123,1","99999,9,9,N","999999,9,N,1","-0153,1","-0162,1","10283,1","99999,9,10268,1","2,1,051,1,+999,9",,"SYN060AAXX  01184 04203 46/// /1524 11153 21162 30268 40283 52051;",
"04203099999","2010-01-01T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","160,1,N,0134,1","99999,9,9,N","999999,9,N,1","-0147,1","-0162,1","10302,1","99999,9,10287,1","2,1,019,1,+999,9",,"SYN060AAXX  01214 04203 46/// /1626 11147 21162 30287 40302 52019;",
"04203099999","2010-01-02T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","140,1,N,0154,1","99999,9,9,N","999999,9,N,1","-0174,1","-0188,1","10318,1","99999,9,10303,1","2,1,224,2,+999,9",,"SYN060AAXX  02034 04203 46/// /1430 11174 21188 30303 40318 52224;","Q01+002242APC3  "
"04203099999","2010-01-02T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","150,1,N,0139,1","99999,9,9,N","999999,9,N,1","-0177,1","-0188,1","10337,1","99999,9,10322,1","2,1,019,1,+999,9",,"SYN060AAXX  02064 04203 46/// /1527 11177 21188 30322 40337 52019;",
"04203099999","2010-01-02T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","140,1,N,0113,1","99999,9,9,N","999999,9,N,1","-0154,1","-0163,1","10348,1","99999,9,10333,1","2,1,011,1,+999,9",,"SYN060AAXX  02094 04203 46/// /1422 11154 21163 30333 40348 52011;",
"04203099999","2010-01-02T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","160,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0172,1","-0181,1","10349,1","99999,9,10334,1","2,1,001,1,+999,9",,"SYN060AAXX  02124 04203 46/// /1614 11172 21181 30334 40349 52001;",
"04203099999","2010-01-02T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","140,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0177,1","-0186,1","10348,1","99999,9,10333,1","7,1,001,1,+999,9",,"SYN060AAXX  02154 04203 46/// /1418 11177 21186 30333 40348 57001;",
"04203099999","2010-01-02T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","150,1,N,0098,1","99999,9,9,N","999999,9,N,1","-0153,1","-0163,1","10340,1","99999,9,10325,1","7,1,008,1,+999,9",,"SYN060AAXX  02184 04203 46/// /1519 11153 21163 30325 40340 57008;",
"04203099999","2010-01-02T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","180,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0159,1","-0171,1","10372,1","99999,9,10357,1","2,1,032,1,+999,9",,"SYN060AAXX  02214 04203 46/// /1811 11159 21171 30357 40372 52032;",
