"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04253099999","2010-01-01T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","140,1,N,0072,1","99999,9,9,N","999999,9,N,1","+0029,1","-0012,1","10248,1","99999,9,10221,1","2,1,020,1,+999,9",,"SYN060AAXX  01004 04253 46/// /1414 10029 21012 30221 40248 52020;",
"04253099999","2010-01-01T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","170,1,N,0123,1","99999,9,9,N","999999,9,N,1","+0035,1","-0002,1","10264,1","99999,9,10237,1","2,1,016,1,+999,9",,"SYN060AAXX  01034 04253 46/// /1724 10035 21002 30237 40264 52016;",
"04253099999","2010-01-01T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","160,1,N,0113,1","99999,9,9,N","999999,9,N,1","+0031,1","-0004,1","10288,1","99999,9,10261,1","2,1,024,1,+999,9",,"SYN060AAXX  01064 04253 46/// /1622 10031 21004 30261 40288 52024;",
"04253099999","2010-01-01T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","160,1,N,0103,1","99999,9,9,N","999999,9,N,1","+0028,1","-0004,1","10311,1","99999,9,10284,1","2,1,023,1,+999,9",,"SYN060AAXX  01094 04253 46/// /1620 10028 21004 30284 40311 52023;",
"04253099999","2010-01-01T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","140,1,N,0036,1","99999,9,9,N","999999,9,N,1","+0013,1","-0019,1","10337,1","99999,9,10310,1","2,1,026,1,+999,9",,"SYN060AAXX  01124 04253 46/// /1407 10013 21019 30310 40337 52026;",
"04253099999","2010-01-01T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","180,1,N,0062,1","99999,9,9,N","999999,9,N,1","+0031,1","-0030,1","10343,1","99999,9,10316,1","2,1,006,1,+999,9",,"SYN060AAXX  01154 04253 46/// /1812 10031 21030 30316 40343 52006;",
"04253099999","2010-01-01T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","070,1,N,0046,1","99999,9,9,N","999999,9,N,1","+0002,1","-0050,1","10346,1","99999,9,10318,1","2,1,002,1,+999,9",,"SYN060AAXX  01184 04253 46/// /0709 10002 21050 30318 40346 52002;",
"04253099999","2010-01-01T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0007,1","-0058,1","10354,1","99999,9,10326,1","2,1,008,1,+999,9",,"SYN060AAXX  01214 04253 46/// /0609 11007 21058 30326 40354 52008;",
"04253099999","2010-01-02T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","350,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0005,1","-0027,1","10332,1","99999,9,10304,1","2,1,184,2,+999,9",,"SYN060AAXX  02034 04253 46/// /3508 10005 21027 30304 40332 52184;","Q01+001842APC3  "
"04253099999","2010-01-02T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","340,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0001,1","-0014,1","10328,1","99999,9,10300,1","7,1,004,1,+999,9",,"SYN060AAXX  02064 04253 46/// /3410 11001 21014 30300 40328 57004;",
"04253099999","2010-01-02T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","330,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0002,1","-0012,1","10332,1","99999,9,10304,1","2,1,004,1,+999,9",,"SYN060AAXX  02094 04253 46/// /3310 11002 21012 30304 40332 52004;",
"04253099999","2010-01-02T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","340,1,N,0062,1","99999,9,9,N","999999,9,N,1","-0001,1","-0007,1","10333,1","99999,9,10305,1","2,1,001,1,+999,9",,"SYN060AAXX  02124 04253 46/// /3412 11001 21007 30305 40333 52001;",
"04253099999","2010-01-02T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","330,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0015,1","-0031,1","10335,1","99999,9,10307,1","2,1,002,1,+999,9",,"SYN060AAXX  02154 04253 46/// /3309 11015 21031 30307 40335 52002;",
"04253099999","2010-01-02T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","020,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0009,1","-0029,1","10346,1","99999,9,10318,1","2,1,011,1,+999,9",,"SYN060AAXX  02184 04253 46/// /0203 11009 21029 30318 40346 52011;",
"04253099999","2010-01-02T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","140,1,N,0077,1","99999,9,9,N","999999,9,N,1","-0008,1","-0050,1","10375,1","99999,9,10347,1","2,1,029,1,+999,9",,"SYN060AAXX  02214 04253 46/// /1415 11008 21050 30347 40375 52029;",
"04253099999","2010-01-03T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","160,1,N,0093,1","99999,9,9,N","999999,9,N,1","+0025,1","+0015,1","10411,1","99999,9,10383,1","2,1,036,1,+999,9",,"SYN060AAXX  03004 04253 46/// /1618 10025 20015 30383 40411 52036;",
"04253099999","2010-01-03T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","080,1,N,0036,1","99999,9,9,N","999999,9,N,1","+0014,1","+0001,1","10427,1","99999,9,10399,1","2,1,016,1,+999,9",,"SYN060AAXX  03034 04253 46/// /0807 10014 20001 30399 40427 52016;",
"04253099999","2010-01-03T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0036,1","99999,9,9,N","999999,9,N,1","+0006,1","-0014,1","10431,1","99999,9,10403,1","2,1,004,1,+999,9",,"SYN060AAXX  03064 04253 46/// /0607 10006 21014 30403 40431 52004;",
"04253099999","2010-01-03T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0036,1","99999,9,9,N","999999,9,N,1","+0003,1","-0019,1","10424,1","99999,9,10396,1","7,1,007,1,+999,9",,"SYN060AAXX  03094 04253 46/// /0607 10003 21019 30396 40424 57007;",
"04253099999","2010-01-03T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","350,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0000,1","-0011,1","10411,1","99999,9,10383,1","7,1,013,1,+999,9",,"SYN060AAXX  03124 04253 46/// /3504 10000 21011 30383 40411 57013;",
"04253099999","2010-01-03T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","350,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0001,1","-0014,1","10399,1","99999,9,10371,1","7,1,012,1,+999,9",,"SYN060AAXX  03154 04253 46/// /3506 11001 21014 30371 40399 57012;",
"04253099999","2010-01-03T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","330,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0005,1","-0007,1","10384,1","99999,9,10356,1","7,1,015,1,+999,9",,"SYN060AAXX  03184 04253 46/// /3307 11005 21007 30356 40384 57015;",
"04253099999","2010-01-03T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","350,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0015,1","-0018,1","10374,1","99999,9,10346,1","7,1,010,1,+999,9",,"SYN060AAXX  03214 04253 46/// /3504 11015 21018 30346 40374 57010;",
"04253099999","2010-01-04T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0027,1","-0031,1","10356,1","99999,9,10328,1","7,1,018,1,+999,9",,"SYN060AAXX  04004 04253 46/// /0403 11027 21031 30328 40356 57018;",
"04253099999","2010-01-04T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","090,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0033,1","-0037,1","10344,1","99999,9,10316,1","7,1,012,1,+999,9",,"SYN060AAXX  04034 04253 46/// /0903 11033 21037 30316 40344 57012;",
"04253099999","2010-01-04T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","150,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0028,1","-0051,1","10345,1","99999,9,10317,1","2,1,001,1,+999,9",,"SYN060AAXX  04064 04253 46/// /1511 11028 21051 30317 40345 52001;",
"04253099999","2010-01-04T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","150,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0016,1","-0039,1","10356,1","99999,9,10328,1","2,1,011,1,+999,9",,"SYN060AAXX  04094 04253 46/// /1511 11016 21039 30328 40356 52011;",
"04253099999","2010-01-04T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","090,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0011,1","-0034,1","10363,1","99999,9,10335,1","2,1,007,1,+999,9",,"SYN060AAXX  04124 04253 46/// /0905 11011 21034 30335 40363 52007;",
"04253099999","2010-01-04T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0005,1","-0036,1","10368,1","99999,9,10340,1","2,1,005,1,+999,9",,"SYN060AAXX  04154 04253 46/// /0610 11005 21036 30340 40368 52005;",
"04253099999","2010-01-04T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","070,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0004,1","-0048,1","10360,1","99999,9,10332,1","7,1,008,1,+999,9",,"SYN060AAXX  04184 04253 46/// /0711 11004 21048 30332 40360 57008;",
"04253099999","2010-01-04T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0008,1","-0043,1","10352,1","99999,9,10324,1","7,1,008,1,+999,9",,"SYN060AAXX  04214 04253 46/// /0609 11008 21043 30324 40352 57008;",
"04253099999","2010-01-05T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0005,1","-0049,1","10339,1","99999,9,10311,1","7,1,013,1,+999,9",,"SYN060AAXX  05004 04253 46/// /0609 11005 21049 30311 40339 57013;",
"04253099999","2010-01-05T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","050,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0010,1","-0050,1","10323,1","99999,9,10295,1","7,1,016,1,+999,9",,"SYN060AAXX  05034 04253 46/// /0508 11010 21050 30295 40323 57016;",
"04253099999","2010-01-05T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0012,1","-0056,1","10308,1","99999,9,10280,1","7,1,015,1,+999,9",,"SYN060AAXX  05064 04253 46/// /0406 11012 21056 30280 40308 57015;",
"04253099999","2010-01-05T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0018,1","-0053,1","10295,1","99999,9,10267,1","7,1,010,1,+999,9",,"SYN060AAXX  05124 04253 46/// /0607 11018 21053 30267 40295 57010;",
"04253099999","2010-01-05T15:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","100,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0005,1","-0059,1","10284,1","99999,9,10256,1","7,1,011,1,+999,9",,"SYN060AAXX  05154 04253 46/// /1007 11005 21059 30256 40284 57011;",
"04253099999","2010-01-05T18:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","060,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0005,1","-0054,1","10258,1","99999,9,10231,1","7,1,025,1,+999,9",,"SYN060AAXX  05184 04253 46/// /0608 11005 21054 30231 40258 57025;",
"04253099999","2010-01-05T21:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0009,1","-0055,1","10240,1","99999,9,10213,1","7,1,018,1,+999,9",,"SYN060AAXX  05214 04253 46/// /0407 11009 21055 30213 40240 57018;",
"04253099999","2010-01-06T00:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","010,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0007,1","-0040,1","10220,1","99999,9,10193,1","7,1,020,1,+999,9",,"SYN060AAXX  06004 04253 46/// /0105 11007 21040 30193 40220 57020;",
"04253099999","2010-01-06T03:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","040,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0009,1","-0065,1","10195,1","99999,9,10168,1","7,1,025,1,+999,9",,"SYN060AAXX  06034 04253 46/// /0403 11009 21065 30168 40195 57025;",
"04253099999","2010-01-06T06:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","160,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0002,1","-0035,1","10184,1","99999,9,10157,1","7,1,011,1,+999,9",,"SYN060AAXX  06064 04253 46/// /1614 11002 21035 30157 40184 57011;",
"04253099999","2010-01-06T09:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","140,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0006,1","-0046,1","10181,1","99999,9,10154,1","7,1,003,1,+999,9",,"SYN060AAXX  06094 04253 46/// /1406 11006 21046 30154 40181 57003;",
"04253099999","2010-01-06T12:00:00","4","62.5666666","-50.4166666","22.0","UKIIVIK FREDERIKSHAAB ISBLINK, GL","FM-12","99999","V020","050,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0017,1","-0044,1","10173,1","99999,9,10146,1","7,1,008,1,+999,9",,"SYN060AAXX  06124 04253 46/// /0505 11017 21044 30146 40173 57008;",
