"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04312099999","2010-01-01T00:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","200,1,N,0139,1","99999,9,9,N","999999,9,N,1","-0055,1","-0087,1","10082,1","99999,9,10039,1","7,1,025,1,+999,9",,"SYN060AAXX  01004 04312 46/// /2027 11055 21087 30039 40082 57025;",
"04312099999","2010-01-01T03:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","200,1,N,0159,1","99999,9,9,N","999999,9,N,1","-0063,1","-0095,1","10059,1","99999,9,10016,1","7,1,023,1,+999,9",,"SYN060AAXX  01034 04312 46/// /2031 11063 21095 30016 40059 57023;",
"04312099999","2010-01-01T06:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","210,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0069,1","-0107,1","10041,1","99999,9,09998,1","7,1,018,1,+999,9",,"SYN060AAXX  01064 04312 46/// /2114 11069 21107 39998 40041 57018;",
"04312099999","2010-01-01T09:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","200,1,N,0113,1","99999,9,9,N","999999,9,N,1","-0081,1","-0118,1","10067,1","99999,9,10024,1","2,1,026,1,+999,9",,"SYN060AAXX  01094 04312 46/// /2022 11081 21118 30024 40067 52026;",
"04312099999","2010-01-01T12:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","270,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0060,1","-0102,1","10123,1","99999,9,10080,1","2,1,056,1,+999,9",,"SYN060AAXX  01124 04312 46/// /2718 11060 21102 30080 40123 52056;",
"04312099999","2010-01-01T15:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","280,1,N,0082,1","99999,9,9,N","999999,9,N,1","-0092,1","-0149,1","10166,1","99999,9,10123,1","2,1,043,1,+999,9",,"SYN060AAXX  01154 04312 46/// /2816 11092 21149 30123 40166 52043;",
"04312099999","2010-01-01T18:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","260,1,N,0134,1","99999,9,9,N","999999,9,N,1","-0117,1","-0156,1","10178,1","99999,9,10135,1","2,1,012,1,+999,9",,"SYN060AAXX  01184 04312 46/// /2626 11117 21156 30135 40178 52012;",
"04312099999","2010-01-01T21:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","240,1,N,0093,1","99999,9,9,N","999999,9,N,1","-0118,1","-0183,1","10210,1","99999,9,10167,1","2,1,032,1,+999,9",,"SYN060AAXX  01214 04312 46/// /2418 11118 21183 30167 40210 52032;",
"04312099999","2010-01-02T00:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","350,1,N,0082,1","99999,9,9,N","999999,9,N,1","-0180,1","-0206,1","10236,1","99999,9,10193,1","2,1,026,1,+999,9",,"SYN060AAXX  02004 04312 46/// /3516 11180 21206 30193 40236 52026;",
"04312099999","2010-01-02T03:00:00","4","81.6","-16.65","36.0","STATION NORD AWS, GL","FM-12","99999","V020","010,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0200,1","-0227,1","10303,1","99999,9,10260,1","2,1,067,2,+999,9",,"SYN060AAXX  02034 04312 46/// /0109 11200 21227 30260 40303 52067;","Q01+000672APC3  "
