"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04382099999","2010-01-01T00:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","210,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0008,1","-0011,1","10354,1","99999,9,10304,1","7,1,006,1,+999,9",,"SYN060AAXX  01004 04382 46/// /2108 11008 21011 30304 40354 57006;",
"04382099999","2010-01-01T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","180,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0013,1","-0021,1","10336,1","99999,9,10286,1","7,1,018,1,+999,9",,"SYN060AAXX  01034 04382 46/// /1809 11013 21021 30286 40336 57018;",
"04382099999","2010-01-01T06:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","150,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0014,1","-0022,1","10320,1","99999,9,10270,1","7,1,016,1,+999,9",,"SYN060AAXX  01064 04382 46/// /1506 11014 21022 30270 40320 57016;",
"04382099999","2010-01-01T09:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","310,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0027,1","-0032,1","10315,1","99999,9,10265,1","7,1,005,1,+999,9",,"SYN060AAXX  01094 04382 46/// /3104 11027 21032 30265 40315 57005;",
"04382099999","2010-01-01T12:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0029,1","-0036,1","10310,1","99999,9,10260,1","7,1,005,1,+999,9",,"SYN060AAXX  01124 04382 46/// /2302 11029 21036 30260 40310 57005;",
"04382099999","2010-01-01T15:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","180,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0024,1","-0045,1","10300,1","99999,9,10250,1","7,1,010,1,+999,9",,"SYN060AAXX  01154 04382 46/// /1806 11024 21045 30250 40300 57010;",
"04382099999","2010-01-01T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","200,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0026,1","-0045,1","10292,1","99999,9,10242,1","7,1,008,1,+999,9",,"SYN060AAXX  01184 04382 46/// /2007 11026 21045 30242 40292 57008;",
"04382099999","2010-01-01T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","230,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0013,1","-0064,1","10292,1","99999,9,10242,1","4,1,000,1,+999,9",,"SYN060AAXX  01214 04382 46/// /2305 11013 21064 30242 40292 54000;",
"04382099999","2010-01-02T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","010,1,N,0057,1","99999,9,9,N","999999,9,N,1","+0006,1","-0061,1","10324,1","99999,9,10274,1","2,1,021,1,+999,9",,"SYN060AAXX  02034 04382 46/// /0111 10006 21061 30274 40324 52021;",
"04382099999","2010-01-02T06:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0123,1","99999,9,9,N","999999,9,N,1","+0013,1","-0042,1","10341,1","99999,9,10291,1","2,1,017,1,+999,9",,"SYN060AAXX  02064 04382 46/// /3424 10013 21042 30291 40341 52017;",
"04382099999","2010-01-02T09:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0159,1","99999,9,9,N","999999,9,N,1","+0006,1","-0026,1","10365,1","99999,9,10315,1","2,1,024,1,+999,9",,"SYN060AAXX  02094 04382 46/// /3431 10006 21026 30315 40365 52024;",
"04382099999","2010-01-02T12:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0134,1","99999,9,9,N","999999,9,N,1","+0018,1","-0021,1","10394,1","99999,9,10344,1","2,1,029,1,+999,9",,"SYN060AAXX  02124 04382 46/// /3426 10018 21021 30344 40394 52029;",
"04382099999","2010-01-02T15:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0108,1","99999,9,9,N","999999,9,N,1","+0007,1","-0017,1","10411,1","99999,9,10361,1","2,1,017,1,+999,9",,"SYN060AAXX  02154 04382 46/// /3421 10007 21017 30361 40411 52017;",
"04382099999","2010-01-02T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","330,1,N,0103,1","99999,9,9,N","999999,9,N,1","+0014,1","-0020,1","10419,1","99999,9,10369,1","2,1,008,1,+999,9",,"SYN060AAXX  02184 04382 46/// /3320 10014 21020 30369 40419 52008;",
"04382099999","2010-01-02T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0013,1","-0024,1","10436,1","99999,9,10385,1","2,1,016,1,+999,9",,"SYN060AAXX  02214 04382 46/// ///// 11013 21024 30385 40436 52016;",
"04382099999","2010-01-03T00:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0072,1","99999,9,9,N","999999,9,N,1","-0031,1","-0034,1","10436,1","99999,9,10385,1","4,1,000,1,+999,9",,"SYN060AAXX  03004 04382 46/// /3514 11031 21034 30385 40436 54000;",
"04382099999","2010-01-03T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","180,1,N,0005,1","99999,9,9,N","999999,9,N,1","-0028,1","-0037,1","10428,1","99999,9,10377,1","7,1,008,1,+999,9",,"SYN060AAXX  03034 04382 46/// /1801 11028 21037 30377 40428 57008;",
