"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AL1","AY1","AY2","GA1","GF1","KA1","KA2","MW1","REM","EQD"
"07589099999","2010-01-01T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","00210,1,9,N","999999,9,N,1","-0005,1","+9999,9","99999,9","24,0006,9,1","0009,9,1,999999,9,9","99,001,9,1","7,1,99,9","0,1,99,9",,"08,99,1,08,1,06,1,00250,1,99,9,99,9","999,M,+0040,1","999,N,-0010,1","71,1","SYN140AAXX  01081 07589 213// 80000 11005 29/// 77170 886// 90810 333 10040 21010 4/009 70006 90768 93101 555 72150 8//// 1//// ///40 ///// /////;",
"07589099999","2010-01-03T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0065,1","+9999,9","99999,9","24,0000,9,1","0012,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"08,99,1,08,1,00,1,99999,9,01,1,99,9","999,M,-0060,1","999,N,-0110,1","00,1","SYN152AAXX  03081 07589 219// 80000 11065 29/// 70000 8801/ 90750 333 11060 21110 4/012 70000 90768 93100 555 7//// 8//// 11020 00300 ///// ///// 47809 51///;",
"07589099999","2010-01-04T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","00120,1,9,N","999999,9,N,1","-0020,1","+9999,9","99999,9","24,0139,9,1","0034,9,1,999999,9,9","99,022,9,1","7,1,99,9","0,1,99,9",,"08,99,1,08,1,06,1,00150,1,99,9,99,9","999,M,-0018,1","999,N,-0070,1","71,1","SYN152AAXX  04081 07589 212// 80000 11020 29/// 77170 886// 90730 333 11018 21070 4/034 70139 90768 93122 555 72150 8//// 11006 02400 ///// ////2 411// 51///;",
"07589099999","2010-01-05T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","24,0006,9,1","0028,9,1,999999,9,9","99,001,9,1","7,1,99,9","0,1,99,9",,"07,99,1,07,1,00,1,99999,9,07,1,99,9","999,M,+0000,1","999,N,-0060,1","00,1","SYN140AAXX  05081 07589 219// 70000 11040 29/// 70070 8707/ 90810 333 10000 21060 4/028 70006 90768 93101 555 72150 8//// 1//// ///00 ///// /////;",
"07589099999","2010-01-06T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0100,1","+9999,9","99999,9","24,0000,9,1","0022,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","999,M,-0005,1","999,N,-0110,1","00,1","SYN152AAXX  06081 07589 219// 00000 11100 29/// 70000 80000 90810 333 11005 21110 4/022 70000 90768 93100 555 7//// 8//// 11032 01850 ///// ///// 481// 51///;",
"07589099999","2010-01-07T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0065,1","+9999,9","99999,9","24,0000,9,1","0020,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"08,99,1,08,1,00,1,99999,9,07,1,99,9","999,M,-0055,1","999,N,-0105,1","00,1","SYN152AAXX  07081 07589 219// 80000 11065 29/// 70000 8807/ 90810 333 11055 21105 4/020 70000 90768 93100 555 7//// 8//// 11035 01600 ///// ///// 481// 51///;",
"07589099999","2010-01-08T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","00120,1,9,N","999999,9,N,1","-0050,1","+9999,9","99999,9","24,0210,9,1","0056,9,1,999999,9,9","99,038,9,1","7,1,99,9","0,1,99,9",,"08,99,1,08,1,06,1,00150,1,99,9,99,9","999,M,-0030,1","999,N,-0070,1","71,1","SYN146AAXX  08081 07589 212// 80000 11050 29/// 77170 886// 90810 333 11030 21070 4/056 70210 90768 93138 555 72150 8//// 11006 04080 ///// ///// 41100;",
"07589099999","2010-01-09T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","00060,1,9,N","999999,9,N,1","-0090,1","+9999,9","99999,9","24,0075,9,1","0060,9,1,999999,9,9","99,012,9,1","7,1,99,9","4,1,99,9",,"08,99,1,08,1,06,1,00075,1,99,9,99,9","999,M,-0045,1","999,N,-0090,1","00,1","SYN152AAXX  09081 07589 211// 80000 11090 29/// 70074 886// 90700 333 11045 21090 4/060 70075 90768 93112 555 72150 8//// 11013 03880 ///// ///// 41100 50///;",
"07589099999","2010-01-10T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0120,1","+9999,9","99999,9","24,0035,9,1","0058,9,1,999999,9,9","99,005,9,1","7,1,99,9","4,1,99,9",,"05,99,1,01,1,00,1,99999,9,03,1,02,1","999,M,-0080,1","999,N,-0130,1","00,1","SYN152AAXX  10081 07589 219// 50000 11120 29/// 70074 81032 90800 333 11080 21130 4/058 70035 90768 93105 555 72150 8//// 11014 03050 ///// ///// 41100 50///;",
"07589099999","2010-01-11T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0090,1","+9999,9","99999,9","24,0000,9,1","0054,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"01,99,1,00,1,00,1,99999,9,00,1,02,1","999,M,-0070,1","999,N,-0130,1","00,1","SYN146AAXX  11081 07589 219// 10000 11090 29/// 70000 80002 90810 333 11070 21130 4/054 70000 90768 93100 555 7//// 8//// 11015 13000 ///// ///// 41800;",
"07589099999","2010-01-12T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0090,1","+9999,9","99999,9","24,0000,9,1","0048,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","999,M,-0030,1","999,N,-0120,1","00,1","SYN152AAXX  12081 07589 219// 00000 11090 29/// 70000 80000 90720 333 11030 21120 4/048 70000 90768 93100 555 7//// 8//// 11045 13000 ///// ///// 41800 51///;",
"07589099999","2010-01-13T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","00120,1,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","24,0080,9,1","0064,9,1,999999,9,9","99,018,9,1","7,1,99,9","4,1,99,9",,"08,99,1,08,1,06,1,00150,1,99,9,99,9","999,M,+0005,1","999,N,-0090,1","71,1","SYN152AAXX  13081 07589 212// 80000 11040 29/// 77174 886// 90730 333 10005 21090 4/064 70080 90768 93118 555 72150 8//// 11011 050/0 ///// ///// 41100 50///;",
"07589099999","2010-01-14T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","02100,1,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","24,0029,9,1","0060,9,1,999999,9,9","99,004,9,1","7,1,99,9","0,1,99,9",,"08,99,1,08,1,00,1,02250,1,07,1,99,9","999,M,-0005,1","999,N,-0060,1","00,1","SYN140AAXX  14081 07589 218// 80000 11040 29/// 70070 8807/ 90730 333 11005 21060 4/060 70029 90768 93104 555 7//// 8//// 1//// ////0 ///// /////;",
"07589099999","2010-01-15T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","01500,1,9,N","999999,9,N,1","-0010,1","+9999,9","99999,9","24,0091,9,1","0066,9,1,999999,9,9","99,011,9,1","7,1,99,9","0,1,99,9",,"07,99,1,07,1,00,1,01750,1,07,1,99,9","999,M,+0005,1","999,N,-0040,1","00,1","SYN152AAXX  15081 07589 217// 70000 11010 29/// 70070 8707/ 90740 333 10005 21040 4/066 70091 90768 93111 555 72150 8//// 11006 05500 ///// ///// 41100 50///;",
"07589099999","2010-01-16T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0015,1","+9999,9","99999,9","24,0000,9,1","0062,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"08,99,1,00,1,00,1,99999,9,00,1,02,1","999,M,+0020,1","999,N,-0040,1","00,1","SYN152AAXX  16081 07589 219// 80000 10015 29/// 70000 88002 90800 333 10020 21040 4/062 70000 90768 93100 555 7//// 8//// 11007 04000 ///// ///// 41800 51///;","Q01+000082SCOTLC"
"07589099999","2010-01-17T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","01200,1,9,N","999999,9,N,1","+0000,1","+9999,9","99999,9","24,0064,9,1","0062,9,1,999999,9,9","99,008,9,1","7,1,99,9","4,1,99,9",,"07,99,1,06,1,00,1,01250,1,03,1,02,1","999,M,+0035,1","999,N,-0010,1","00,1","SYN146AAXX  17081 07589 216// 70000 10000 29/// 70074 86032 90820 333 10035 21010 4/062 70064 90768 93108 555 72150 8//// 11007 05000 ///// ///// 41100;",
"07589099999","2010-01-18T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0045,1","+9999,9","99999,9","24,0003,9,1","0058,9,1,999999,9,9","99,001,9,1","7,1,99,9","4,1,99,9","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","999,M,+0010,1","999,N,-0055,1","00,1","SYN152AAXX  18081 07589 219// 00000 11045 29/// 70074 80000 90730 333 10010 21055 4/058 70003 90768 93101 555 72156 8//// 11008 04000 ///// ///// 41100 51///;",
"07589099999","2010-01-19T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","24,0000,9,1","0058,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"02,99,1,00,1,00,1,99999,9,00,1,02,1","999,M,+0015,1","999,N,-0065,1","00,1","SYN152AAXX  19081 07589 219// 20000 11040 29/// 70000 80002 90810 333 10015 21065 4/058 70000 90768 93100 555 7//// 8//// 1//// 13000 ///// ///// 41800 51///;",
"07589099999","2010-01-20T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","24,0000,9,1","0056,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"05,99,1,05,1,00,1,99999,9,03,1,00,1","999,M,+0020,1","999,N,-0060,1","00,1","SYN152AAXX  20081 07589 219// 50000 11040 29/// 70000 85030 90820 333 10020 21060 4/056 70000 90768 93100 555 7//// 8//// 11023 12500 ///// ///// 41800 51///;",
"07589099999","2010-01-21T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","040,1,N,0020,1","22000,1,9,N","999999,9,N,1","-0050,1","+9999,9","99999,9","24,0007,9,1","0055,9,1,999999,9,9","99,001,9,1","7,1,99,9","4,1,99,9","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","999,M,+0015,1","999,N,-0060,1","00,1","SYN152AAXX  21081 07589 219// 00402 11050 29/// 70074 80000 90820 333 10015 21060 4/055 70007 90768 93101 555 72150 8//// 11130 03706 ///// ///// 41100 51///;",
"07589099999","2010-01-22T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0040,1","+9999,9","99999,9","24,0000,9,1","0054,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","999,M,+0010,1","999,N,-0070,1","00,1","SYN152AAXX  22081 07589 219// 00000 11040 29/// 70000 80000 90820 333 10010 21070 4/054 70000 90768 93100 555 7//// 8//// 11027 03000 ///// ///// 41800 51///;",
"07589099999","2010-01-23T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0030,1","+9999,9","99999,9","24,0000,9,1","0053,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"05,99,1,00,1,00,1,99999,9,00,1,02,1","999,M,+0020,1","999,N,-0050,1","00,1","SYN152AAXX  23081 07589 219// 50000 11030 29/// 70000 80002 90820 333 10020 21050 4/053 70000 90768 93100 555 7//// 8//// 11033 03500 ///// ///// 41800 51///;",
"07589099999","2010-01-24T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,N,1","-0010,1","+9999,9","99999,9","24,0000,9,1","0051,9,1,999999,9,9","99,000,9,1","0,1,99,9","0,1,99,9",,"06,99,1,02,1,00,1,99999,9,03,1,02,1","999,M,+0040,1","999,N,-0040,1","00,1","SYN152AAXX  24081 07589 219// 60000 11010 29/// 70000 82032 90810 333 10040 21040 4/051 70000 90768 93100 555 7//// 8//// 11012 03000 ///// ///// 41800 51///;",
"07589099999","2010-01-26T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0085,1","+9999,9","99999,9","24,0003,9,1","0050,9,1,999999,9,9","99,001,9,1","7,1,99,9","0,1,99,9","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","999,M,-0020,1","999,N,-0095,1","00,1","SYN152AAXX  26081 07589 219// 00000 11085 29/// 70070 80000 90810 333 11020 21095 4/050 70003 90768 93101 555 72157 8//// 11041 03050 ///// ///// 41100 51///;",
"07589099999","2010-01-27T08:00:00","4","44.946667","6.188333","1570.0","ST CHRISTOPHE, FR","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","999999,9,N,1","-0060,1","+9999,9","99999,9","24,0004,9,1","0050,9,1,999999,9,9","99,001,9,1","7,1,99,9","4,1,99,9","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","999,M,-0030,1","999,N,-0090,1","00,1","SYN152AAXX  27081 07589 219// 00000 11060 29/// 70074 80000 90740 333 11030 21090 4/050 70004 90768 93101 555 72150 8//// 11025 03550 ///// ///// 41300 51///;",
